Node id; In degrees
76; 201228
146; 125387
47; 124750
300; 124278
2132; 123271
168; 103484
2135; 98635
707; 98551
747; 98433
777; 98122
404; 97757
72; 94451
33; 89654
405; 88577
2445; 87935
5153; 87462
20712; 87454
4848; 87453
20713; 87447
148; 67877
144; 65697
2845; 64334
795; 64157
145; 63924
4828; 63640
147; 62720
796; 62678
5395; 62666
398; 62208
158; 62173
442; 61746
1423; 61414
444; 61395
318; 61367
157; 61341
1425; 61129
6487; 61113
7751; 50381
7748; 50378
7750; 50376
7747; 50376
7749; 50376
1019; 47454
1020; 46259
161; 41394
117; 41324
133; 41315
979; 41158
203; 40864
181; 40846
126; 40510
1; 39330
2133; 36877
63557; 36676
2131; 36652
5689; 36275
527; 36112
415; 36107
977; 36101
20717; 36080
20716; 36080
20715; 36080
17541; 36080
20708; 36080
973; 36069
790; 35983
793; 35964
2128; 35845
2130; 35800
1903; 35717
2139; 35702
785; 35633
660; 35582
452; 35463
2125; 35238
2138; 35219
988; 35214
987; 35214
5; 32532
6; 32451
4; 32450
3; 32446
7; 32119
114; 32074
115; 32054
263; 31617
40; 29290
9; 29091
44; 28793
8; 28727
16; 28669
45; 28644
46; 28642
432; 28022
433; 27526
18; 27253
435; 26806
131; 26651
37; 26583
43; 26543
434; 26476
15; 26472
429; 26410
447; 26378
449; 26374
480897; 26374
304; 26136
51; 26075
29; 26071
75; 26058
74; 26058
7752; 23278
73; 11601
6484; 10374
6482; 10367
6485; 10367
6483; 10367
6488; 10367
6486; 10367
769; 6509
42; 6232
70; 6004
71; 5925
968; 5774
969; 5486
265; 5308
77; 5077
272; 4125
4724; 3881
3148; 3572
4732; 3526
4734; 3526
4727; 3526
4735; 3526
4730; 3511
286; 3344
1127; 3110
1105; 3058
13224; 3048
274; 3034
1126; 2939
1131; 2937
4437; 2750
111; 2739
112; 2735
4733; 2648
4740; 2561
798; 2551
7640; 2371
1275; 2329
2171; 2254
1276; 2215
1277; 2215
1274; 2215
1273; 2215
1278; 2215
703; 2079
22150; 2076
22149; 2076
5350; 2001
5368; 1849
5369; 1849
5370; 1849
5702; 1849
31184; 1846
31205; 1837
31210; 1837
31208; 1837
31209; 1837
