PageRank;inDegreeRank;PageRankValue;inDegreeValue;Node id;Url;Type
0;1;0.0030825704445248212;201228;76;http://www.utwente.nl/en/index.html;out
1;44;0.0030203165735985253;46259;1020;http://www.utwente.nl/en/about-our-website/index.html;out
2;43;0.0030203165735985206;47454;1019;http://www.utwente.nl/en/about-our-website/disclaimer/index.html;disconnected
3;46;0.0030166545811910954;41324;117;http://www.utwente.nl/en/prospective-students/phd_programmes/index.html;disconnected
4;48;0.003016654581191095;41158;979;http://www.utwente.nl/telefoongids/en.html;out
5;6;0.003016654581191095;103484;168;http://www.utwente.nl/eng/entrepreneurs.html;disconnected
6;50;0.003016654581191094;40846;181;http://www.utwente.nl/en/campus/index.html;out
7;45;0.003016654581191093;41394;161;http://www.utwente.nl/en/organization.1.html;out
8;47;0.0030166545811910923;41315;133;http://www.utwente.nl/en/research.1.html;out
9;20;0.0027006337406949754;67877;148;http://www.utwente.nl/tgs.1.html;out
10;49;0.0026837885756208005;40864;203;http://www.utwente.nl/en/education/bachelor/index.html;disconnected
11;51;0.002654492636361366;40510;126;http://www.utwente.nl/en/education/master/index.html;disconnected
12;8;0.002654492636361365;98551;707;http://www.utwente.nl/vacatures/en/Academic Staff/index.html;disconnected
13;72;0.0024640308323943248;35633;785;http://www.utwente.nl/en/organization/structure/faculties/index.html;disconnected
14;69;0.0024640308323943235;35800;2130;http://www.utwente.nl/bms/en.html;disconnected
15;4;0.0022773560162050403;124278;300;http://www.utwente.nl/majorminor/en.html;out
16;21;0.0022432217944913665;65697;144;http://www.utwente.nl/mesaplus.1.html;disconnected
17;24;0.0021999056557292017;63924;145;http://www.utwente.nl/ctit.1.html;disconnected
18;34;0.002177305931157639;61367;318;http://www.utwente.nl/en/education/post-graduate/pdeng/index.html;disconnected
19;3;0.002177305931157639;124750;47;http://www.utwente.nl/ufonds.1.html;out
20;26;0.0021773059311576384;62720;147;http://www.utwente.nl/igs.1.html;out
21;33;0.0021773059311576384;61395;444;http://www.utwente.nl/designlab.html;disconnected
22;30;0.002177305931157638;62173;158;http://www.utwente.nl/itc.1.html;out
23;35;0.002177305931157638;61341;157;http://www.utwente.nl/sbe.html;disconnected
24;31;0.0021773059311576376;61746;442;http://www.utwente.nl/greenenergy.html;out
25;2;0.0021773059311576376;125387;146;http://www.utwente.nl/projecten/mira.html;out
26;217;0.002164122758490893;1191;11011;http://www.utwente.nl/bms/intranet/en/intro/sitemap.e.html;out
27;218;0.002164122758490893;1191;11010;http://www.utwente.nl/bms/intranet/en/merger-gw-mb/index.html;out
28;213;0.002164122758490893;1191;11009;http://www.utwente.nl/bms/intranet/en/strategy-and-policy/index.html;disconnected
29;75;0.0021641227584908926;35238;2125;http://www.utwente.nl/en/education/master/how-to-apply/hbo-applied-sciences/index.html;disconnected
30;71;0.0021641227584908926;35702;2139;http://www.utwente.nl/repository/utwente/dottwente/apps/comment.shtml@file=228260.html;out
31;66;0.0021641227584908926;35983;790;http://www.utwente.nl/en/organization/structure/research-institutes/index.html;out
32;219;0.0021641227584908926;1191;11005;http://www.utwente.nl/bms/intranet/en/education/index.html;out
33;78;0.0021641227584908926;35214;987;;out
34;11;0.0021641227584908926;97757;404;http://www.utwente.nl/internationaloffice.html;out
35;77;0.0021641227584908926;35214;988;;disconnected
36;258;0.0021641227584908926;1040;11041;http://www.utwente.nl/mc/intranet/nieuwsbrieven/facnieuws/index.html;disconnected
37;215;0.0021641227584908926;1191;11006;http://www.utwente.nl/bms/intranet/en/meeting-scheduals/index.html;out
38;5;0.002164122758490892;123271;2132;http://www.ewi.utwente.nl/en/index.html;disconnected
39;7;0.002164122758490892;98635;2135;http://www.wewi.utwente.nl/en.html;disconnected
40;10;0.002164122758490892;98122;777;http://www.utwente.nl/eng/press.html;disconnected
41;195;0.002164122758490892;1379;11004;http://www.utwente.nl/bms/intranet/en/index.html;out
42;59;0.002164122758490892;36101;977;http://www.utwente.nl/ub/en.html;out
43;74;0.002164122758490892;35463;452;http://www.utwente.nl/en/opendays/index.html;disconnected
44;76;0.002164122758490892;35219;2138;http://www.utwente.nl/eng/board/managing_body/supervisory_board.doc/index.html;disconnected
45;55;0.002164122758490892;36652;2131;http://www.ctw.utwente.nl/en/education/bachelor/abc.doc/lecture_timings.html;disconnected
46;57;0.002164122758490892;36112;527;http://www.utwente.nl/en/education/bachelor/programmes/atlas-university-college/index.html;out
47;73;0.002164122758490892;35582;660;http://www.utwente.nl/en/research/researchers/find-an-employee/index.html;disconnected
48;68;0.0021641227584908917;35845;2128;http://www.utwente.nl/ces/en/index.html;out
49;53;0.0021641227584908917;36877;2133;http://www.utwente.nl/en/education/tnw.html;out
50;214;0.0021641227584908917;1191;11008;http://www.utwente.nl/bms/intranet/en/organization/index.html;disconnected
51;70;0.0021641227584908917;35717;1903;http://www.utwente.nl/stage/en/index.html;out
52;54;0.0021641227584908917;36676;63557;http://www.utwente.nl/innovationlab/index.html;disconnected
53;194;0.0021641227584908913;1383;5676;http://www.utwente.nl/bms/intranet/index.html;disconnected
54;216;0.0021641227584908913;1191;11007;http://www.utwente.nl/bms/intranet/en/research/index.html;disconnected
55;58;0.0021641227584908913;36107;415;http://www.utwente.nl/sg/en/index.html;out
56;9;0.0021641227584908913;98433;747;http://www.alumnus.utwente.nl/en.html;disconnected
57;67;0.0021641227584908913;35964;793;http://www.utwente.nl/en/organization/structure/service-departments/index.html;disconnected
58;113;0.0018645449015024479;11601;73;http://my.utwente.nl/index.html;disconnected
59;124;0.0017314613818637686;5774;968;http://www.utwente.nl/en/news.1.html;disconnected
60;120;0.0017314613818637686;6509;769;http://www.utwente.nl/en/contact/index.html;disconnected
61;125;0.0017314613818637684;5486;969;http://www.utwente.nl/en/events.1.html;disconnected
62;590;0.0014022573687009047;500;1365;http://www.utwente.nl/en/education/post-graduate/tgs/programmes/index.html;disconnected
63;601;0.0014022573687009045;488;1366;http://www.utwente.nl/en/education/post-graduate/tgs/application-and-enrolment/index.html;disconnected
64;589;0.0014022573687009045;500;311;http://www.utwente.nl/onderwijs/post-graduate/tgs/index.html;disconnected
65;484;0.0014022573687009045;596;310;http://www.utwente.nl/en/education/post-graduate/index.html;disconnected
66;599;0.0014022573687009045;493;1368;http://www.utwente.nl/en/education/post-graduate/tgs/courses-and-workshops/index.html;disconnected
67;597;0.001402257368700904;495;1372;http://www.utwente.nl/de/bildung/post-graduate/tgs/index.html;disconnected
68;86;0.0013824826097007864;31617;263;http://www.utwente.nl/onderwijs/professional-learning-and-development/index.html;disconnected
69;562;0.001369299437034041;519;1383;http://blog.utwente.nl/tgs/index.html;disconnected
70;603;0.0013692994370340407;484;1386;http://www.utwente.nl/en/education/post-graduate/tgs/contact/organization/index.html;disconnected
71;127;0.0013119211527056777;5077;77;http://www.utwente.nl/de/bildung/index.html;disconnected
72;3040;0.0012117955647338618;114;11411;http://www.utwente.nl/en/organization/structure/faculties/bms/education/index.html;disconnected
73;175;0.0012117955647338618;1672;2432;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/index.html;disconnected
74;4117;0.0012117955647338618;72;5156;http://www.utwente.nl/organisatie/structuur/faculteiten/bms/onderwijs/index.html;disconnected
75;25818;0.001178837633066998;10;200225;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/index.html;disconnected
76;1327;0.001178837633066998;305;697;http://www.utwente.nl/en/organization/structure/index.html;disconnected
77;25550;0.001178837633066998;10;200226;http://www.utwente.nl/en/organization/structure/faculties/bms/education/forms-and-downloads/ter-oer-mb/archief/index.html;disconnected
78;6413;0.001178837633066998;37;13728;http://www.utwente.nl/bms/en/education/regulations/educational-policy/index.html;disconnected
79;350;0.0011452755046938482;827;39710;http://www.utwente.nl/bms/intranet/en/education/quality-assurance/archive/mb/older-evaluations/index.html;disconnected
