Song,Spotify Rating,Youtube Viewcount
Can't Feel My Face,100,74
What Do You Mean?,99,80
The Hills,98,84
How Deep Is Your Love,97,75
Sorry,96,59
Hello,95,82
Drag Me Down,94,73
Hotline Bling,93,50
Where Are Ü Now (with Justin Bieber),92,79
Photograph,91,61
Perfect,90,42
On My Mind,89,54
El Perdón,88,85
679 (feat. Remy Boyz),87,53
Marvin Gaye (feat. Meghan Trainor),86,68
Downtown (feat. Eric Nally  Melle Mel  Kool Moe Dee & Grandmaster Caz),85,52
Stole the Show,84,34
See You Again (feat. Charlie Puth),83,99
Thinking Out Loud,82,96
Ain't Nobody (Loves Me Better),81,71
Sugar (feat. Francesco Yates),80,44
Locked Away,79,67
Uptown Funk,78,100
Firestone,77,69
Jumpman,76,2
